,x,y,color,cluster
NegCtrl0_FOXL2,113.11749,109.5981,#cccccc,-1
NegCtrl0_HOXB9,112.638885,107.172325,#cccccc,-1
NegCtrl0_HOXC13,110.7459,110.92011,#5f57db,12
NegCtrl0_IER5L,110.08366,112.28402,#cccccc,-1
NegCtrl0_IGDCC3,98.72068,107.19798,#57dbc9,5
NegCtrl0_IKZF3,108.89922,108.14774,#84db57,13
NegCtrl0_ISL2,113.247444,108.207855,#cccccc,-1
NegCtrl0_KIF2C,106.83286,115.12879,#cccccc,-1
NegCtrl0_KLF1,90.06696,103.63147,#57b9db,0
NegCtrl0_MAP2K6,93.05434,102.87231,#c957db,1
NegCtrl0_MAP7D1,94.724686,102.90665,#cccccc,-1
NegCtrl0_MAPK1,103.21854,100.83265,#db5f57,7
NegCtrl0_MEIS1,108.91107,109.621284,#cccccc,-1
NegCtrl0_NegCtrl0,113.53499,102.55639,#cccccc,-1
NegCtrl0_OSR2,112.65013,98.71582,#cccccc,-1
NegCtrl0_PRTG,98.398346,106.31243,#57dbc9,5
NegCtrl0_PTPN12,111.165474,120.89313,#cccccc,-1
NegCtrl0_PTPN9,109.39926,118.22069,#cccccc,-1
NegCtrl0_RUNX1T1,111.34895,102.19093,#cccccc,-1
NegCtrl0_SAMD1,112.72554,116.76325,#cccccc,-1
NegCtrl0_SET,105.1329,113.460976,#57db94,9
NegCtrl0_SLC38A2,93.713585,103.912506,#cccccc,-1
NegCtrl0_SNAI1,114.09867,112.82837,#cccccc,-1
NegCtrl0_SPI1,113.89268,103.70752,#db9457,6
NegCtrl0_STIL,113.49346,107.84457,#cccccc,-1
NegCtrl0_TBX2,110.26725,115.401726,#9457db,10
NegCtrl0_TBX3,108.37146,115.569275,#cccccc,-1
NegCtrl0_TGFBR2,97.37999,106.24453,#cccccc,-1
NegCtrl0_UBASH3A,106.45885,117.72218,#cccccc,-1
NegCtrl0_UBASH3B,109.0664,118.297295,#cccccc,-1
NegCtrl0_ZBTB1,114.18254,116.55894,#cccccc,-1
NegCtrl0_ZBTB25,109.58205,120.11451,#cccccc,-1
NegCtrl10_NegCtrl0,105.90569,109.241104,#cccccc,-1
NegCtrl11_NegCtrl0,94.97188,105.57855,#cccccc,-1
NegCtrl1_NegCtrl0,96.19906,106.538315,#cccccc,-1
OSR2_NegCtrl0,113.15031,98.834694,#cccccc,-1
PLK4_NegCtrl0,113.82399,106.29983,#cccccc,-1
PLK4_STIL,114.190285,108.0615,#cccccc,-1
POU3F2_CBFA2T3,111.062675,108.2306,#5f57db,12
POU3F2_FOXL2,112.24223,109.968185,#5f57db,12
POU3F2_NegCtrl0,110.57394,109.06128,#cccccc,-1
PRDM1_CBFA2T3,111.518456,109.07226,#cccccc,-1
PRDM1_NegCtrl0,110.0501,108.77273,#cccccc,-1
PRTG_NegCtrl0,99.15086,107.11586,#57dbc9,5
PTPN12_NegCtrl0,111.81015,120.70842,#cccccc,-1
PTPN12_OSR2,112.29143,99.43862,#cccccc,-1
PTPN12_PTPN9,110.776764,119.456055,#b9db57,11
PTPN12_SNAI1,113.67296,114.5232,#cccccc,-1
PTPN12_UBASH3A,112.370514,119.43051,#b9db57,11
PTPN12_ZBTB25,110.439896,120.2318,#b9db57,11
PTPN13_NegCtrl0,113.867645,109.960976,#cccccc,-1
PTPN1_NegCtrl0,109.219,116.96417,#b9db57,11
PTPN9_NegCtrl0,108.54493,118.40509,#cccccc,-1
RHOXF2B_NegCtrl0,108.76523,111.66816,#57db94,9
RHOXF2B_SET,105.5509,112.81052,#57db94,9
RHOXF2B_ZBTB25,108.37994,112.330956,#57db94,9
RP5-862P8.2_NegCtrl0,109.261696,111.24924,#cccccc,-1
RREB1_NegCtrl0,110.76701,116.9806,#cccccc,-1
RUNX1T1_NegCtrl0,111.662056,103.388794,#cccccc,-1
S1PR2_NegCtrl0,110.15888,112.746666,#cccccc,-1
SAMD1_NegCtrl0,112.854355,117.07501,#cccccc,-1
SAMD1_PTPN12,112.31742,117.60923,#b9db57,11
SAMD1_TGFBR2,112.47568,116.75113,#cccccc,-1
SAMD1_UBASH3B,111.9236,116.68902,#b9db57,11
SAMD1_ZBTB1,113.004616,116.09401,#cccccc,-1
SET_CEBPE,104.466896,112.896,#57db94,9
SET_KLF1,104.34413,113.92222,#cccccc,-1
SET_NegCtrl0,105.15195,113.96104,#57db94,9
SGK1_NegCtrl0,110.133026,114.101364,#9457db,10
SGK1_S1PR2,112.60347,111.74986,#cccccc,-1
